#,Name,Current Price (USD),1h%,24h%,7d%,Market Cap (USD),Logo,Symbol,Description,Creation Date,Website,Source Code,Trading Volume Consistency,Liquidity & Order Book Depth,Token Age & Market History,Developer & Team Transparency,Smart Contract Audit & Security,Exchange Listings & Reputation,Community & Social Media Presence,Transaction Patterns & Anomalies,Whitepaper & Roadmap Execution,Regulatory Compliance & Legal Standing
1,Bitcoin,"107,606.14",-0.19,-1.75,2.68,"2,138,975,561,743.42",https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,BTC,"Bitcoin (BTC) is a cryptocurrency launched in 2010. Users are able to generate BTC through the process of mining. Bitcoin has a current supply of 19,877,800. The last known price of Bitcoin is 107,664.15028485 USD and is down -1.64 over the last 24 hours. It is currently trading on 12211 active market(s) with $54,252,743,831.72 traded over the last 24 hours. More information can be found at https://bitcoin.org/.",2010-07-13,https://bitcoin.org/,https://github.com/bitcoin/bitcoin,8,8,3,9,7,3,10,8,2,9
2,Ethereum,"2,751.38",-0.09,-0.73,5.57,"332,151,832,135.55",https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,ETH,"Ethereum (ETH) is a cryptocurrency . Ethereum has a current supply of 120,721,805.18657295. The last known price of Ethereum is 2,755.79382341 USD and is down -0.34 over the last 24 hours. It is currently trading on 10338 active market(s) with $30,454,119,604.94 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",2015-08-07,https://www.ethereum.org/,https://github.com/ethereum/go-ethereum,9,10,10,7,9,5,2,10,1,10
3,Tether USDt,1.00,-0.00,0.01,-0.03,"155,190,744,801.74",https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,USDT,"Tether USDt (USDT) is a cryptocurrency and operates on the Ethereum platform. Tether USDt has a current supply of 157,003,724,947.27401624 with 155,188,887,081.36883189 in circulation. The last known price of Tether USDt is 0.9999696 USD and is down -0.01 over the last 24 hours. It is currently trading on 132526 active market(s) with $89,078,120,893.74 traded over the last 24 hours. More information can be found at https://tether.to.",2015-02-25,https://tether.to,N/A,7,5,9,1,10,1,7,8,8,2
4,XRP,2.25,0.25,-3.05,1.95,"132,088,965,571.51",https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,XRP,"XRP (XRP) is a cryptocurrency . XRP has a current supply of 99,986,060,343 with 58,819,652,442 in circulation. The last known price of XRP is 2.24512419 USD and is down -3.18 over the last 24 hours. It is currently trading on 1625 active market(s) with $2,923,134,056.44 traded over the last 24 hours. More information can be found at https://xrpl.org/.",2013-08-04,https://xrpl.org/,https://github.com/ripple/rippled,10,6,8,1,5,10,2,2,6,9
5,BNB,667.72,0.12,-0.60,-0.27,"94,072,828,500.77",https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,BNB,"BNB (BNB) is a cryptocurrency . BNB has a current supply of 140,886,668.94. The last known price of BNB is 667.79529928 USD and is down -0.53 over the last 24 hours. It is currently trading on 2576 active market(s) with $1,763,123,961.25 traded over the last 24 hours. More information can be found at https://bnbchain.org/en.",2017-07-25,https://bnbchain.org/en,https://github.com/bnb-chain,9,5,8,6,5,10,4,4,2,10
6,Solana,159.39,0.20,-4.48,4.49,"83,790,570,047.84",https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,SOL,"Solana (SOL) is a cryptocurrency launched in 2020. Solana has a current supply of 602,851,032.660659 with 525,684,011.8580601 in circulation. The last known price of Solana is 159.45808403 USD and is down -3.84 over the last 24 hours. It is currently trading on 935 active market(s) with $4,647,953,956.02 traded over the last 24 hours. More information can be found at https://solana.com.",2020-04-10,https://solana.com,https://github.com/solana-labs,4,8,4,10,8,8,8,7,10,6
7,USDC,1.00,-0.01,-0.00,0.00,"61,208,064,017.89",https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,USDC,"USDC (USDC) is a cryptocurrency launched in 2024and operates on the Ethereum platform. USDC has a current supply of 61,228,388,695.9857417. The last known price of USDC is 0.99974002 USD and is down -0.01 over the last 24 hours. It is currently trading on 28618 active market(s) with $12,241,004,893.15 traded over the last 24 hours. More information can be found at https://www.circle.com/en/usdc.",2018-10-08,https://www.circle.com/en/usdc,https://github.com/centrehq/centre-tokens,6,9,7,5,9,8,7,6,1,3
8,Dogecoin,0.19,0.05,-5.82,0.10,"28,420,923,158.39",https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,DOGE,"Dogecoin (DOGE) is a cryptocurrency . Users are able to generate DOGE through the process of mining. Dogecoin has a current supply of 149,652,656,383.70525. The last known price of Dogecoin is 0.18990611 USD and is down -5.55 over the last 24 hours. It is currently trading on 1235 active market(s) with $1,371,447,233.94 traded over the last 24 hours. More information can be found at http://dogecoin.com/.",2013-12-15,http://dogecoin.com/,https://github.com/dogecoin/dogecoin,8,6,10,10,10,1,5,6,3,6
9,TRON,0.27,-0.42,-5.75,0.59,"26,067,438,710.29",https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,TRX,"TRON (TRX) is a cryptocurrency . TRON has a current supply of 94,844,908,033.756748 with 94,844,867,101.047788 in circulation. The last known price of TRON is 0.27483347 USD and is down -5.76 over the last 24 hours. It is currently trading on 1184 active market(s) with $984,942,217.91 traded over the last 24 hours. More information can be found at https://trondao.org/.",2017-09-13,https://trondao.org/,https://github.com/tronprotocol/java-tron,2,7,4,9,5,4,2,5,9,3
10,Cardano,0.69,-0.10,-4.76,0.62,"24,230,923,131.24",https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,ADA,"Cardano (ADA) is a cryptocurrency launched in 2017. Cardano has a current supply of 44,994,596,807.107415 with 35,346,979,015.393979 in circulation. The last known price of Cardano is 0.68553629 USD and is down -4.86 over the last 24 hours. It is currently trading on 1529 active market(s) with $687,283,211.40 traded over the last 24 hours. More information can be found at https://www.cardano.org.",2017-10-01,https://www.cardano.org,https://cardanoupdates.com/,6,6,9,2,2,3,7,4,1,1
11,Hyperliquid,41.44,-0.28,-2.39,18.36,"13,839,547,549.47",https://s2.coinmarketcap.com/static/img/coins/64x64/32196.png,HYPE,"Hyperliquid (HYPE) is a cryptocurrency and operates on the Hyperliquid platform. Hyperliquid has a current supply of 999,993,930 with 333,928,180 in circulation. The last known price of Hyperliquid is 41.46989713 USD and is down -2.31 over the last 24 hours. It is currently trading on 106 active market(s) with $434,718,480.39 traded over the last 24 hours. More information can be found at https://hyperliquid.xyz/.",2024-07-15,https://hyperliquid.xyz/,N/A,4,5,6,5,6,8,9,9,3,6
12,Sui,3.32,-0.10,-5.59,4.98,"11,265,580,269.30",https://s2.coinmarketcap.com/static/img/coins/64x64/20947.png,SUI,"Sui (SUI) is a cryptocurrency . Sui has a current supply of 10,000,000,000 with 3,396,671,135.3644433 in circulation. The last known price of Sui is 3.315927 USD and is down -5.54 over the last 24 hours. It is currently trading on 679 active market(s) with $926,328,682.59 traded over the last 24 hours. More information can be found at https://sui.io/#.",2022-07-12,https://sui.io/#,https://github.com/MystenLabs,10,1,9,5,4,4,6,6,10,1
13,Chainlink,14.43,-0.02,-5.65,4.34,"9,479,869,581.44",https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png,LINK,"Chainlink (LINK) is a cryptocurrency and operates on the Ethereum platform. Chainlink has a current supply of 1,000,000,000 with 657,099,970.45278671 in circulation. The last known price of Chainlink is 14.43831431 USD and is down -5.17 over the last 24 hours. It is currently trading on 2020 active market(s) with $535,870,473.79 traded over the last 24 hours. More information can be found at https://chain.link/.",2017-09-20,https://chain.link/,https://github.com/smartcontractkit/chainlink,6,2,6,9,5,9,10,3,9,7
14,Avalanche,21.03,-0.26,-5.40,3.53,"8,869,009,509.09",https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png,AVAX,"Avalanche (AVAX) is a cryptocurrency launched in 2020. Avalanche has a current supply of 456,829,430.0818445 with 421,826,730.0818445 in circulation. The last known price of Avalanche is 21.02878762 USD and is down -5.38 over the last 24 hours. It is currently trading on 921 active market(s) with $465,236,490.92 traded over the last 24 hours. More information can be found at https://avax.network/.",2020-07-13,https://avax.network/,https://github.com/ava-labs/avalanchego,1,9,10,9,2,10,9,1,3,5
15,Bitcoin Cash,433.69,0.36,-1.92,8.42,"8,622,828,222.95",https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png,BCH,"Bitcoin Cash (BCH) is a cryptocurrency . Users are able to generate BCH through the process of mining. Bitcoin Cash has a current supply of 19,882,509.375. The last known price of Bitcoin Cash is 431.46479124 USD and is down -2.45 over the last 24 hours. It is currently trading on 1024 active market(s) with $425,281,519.17 traded over the last 24 hours. More information can be found at http://bch.info.",2017-07-23,http://bch.info,https://gitlab.com/bitcoin-cash-node/,4,7,7,6,4,1,7,8,8,8
16,Stellar,0.28,0.41,-2.20,3.62,"8,619,588,530.43",https://s2.coinmarketcap.com/static/img/coins/64x64/512.png,XLM,"Stellar (XLM) is a cryptocurrency . Stellar has a current supply of 50,001,786,892.81785 with 31,192,638,295.525642 in circulation. The last known price of Stellar is 0.27615335 USD and is down -2.29 over the last 24 hours. It is currently trading on 712 active market(s) with $271,793,685.72 traded over the last 24 hours. More information can be found at https://www.stellar.org.",2014-08-05,https://www.stellar.org,https://github.com/stellar/stellar-core,4,1,8,7,9,5,10,9,5,10
17,UNUS SED LEO,8.88,0.23,-1.43,-0.64,"8,195,851,876.00",https://s2.coinmarketcap.com/static/img/coins/64x64/3957.png,LEO,"UNUS SED LEO (LEO) is a cryptocurrency and operates on the Ethereum platform. UNUS SED LEO has a current supply of 985,239,504 with 923,258,515.9 in circulation. The last known price of UNUS SED LEO is 8.87682176 USD and is down -1.38 over the last 24 hours. It is currently trading on 61 active market(s) with $7,554,388.92 traded over the last 24 hours. More information can be found at https://www.bitfinex.com/.",2019-05-21,https://www.bitfinex.com/,N/A,7,2,10,4,4,2,5,3,3,10
18,Toncoin,3.23,-0.06,-0.21,-0.62,"7,968,302,974.68",https://s2.coinmarketcap.com/static/img/coins/64x64/11419.png,TON,"Toncoin (TON) is a cryptocurrency . Toncoin has a current supply of 5,132,351,581.67383083 with 2,466,402,610.20009503 in circulation. The last known price of Toncoin is 3.2264142 USD and is down -0.39 over the last 24 hours. It is currently trading on 748 active market(s) with $240,405,316.56 traded over the last 24 hours. More information can be found at https://ton.org/.",2021-08-26,https://ton.org/,https://github.com/ton-blockchain,3,3,4,6,3,1,1,6,3,8
19,Shiba Inu,0.00,0.11,-4.07,-0.44,"7,529,542,419.73",https://s2.coinmarketcap.com/static/img/coins/64x64/5994.png,SHIB,"Shiba Inu (SHIB) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Shiba Inu has a current supply of 589,503,832,886,748.59567457 with 589,249,295,310,350.54021072 in circulation. The last known price of Shiba Inu is 0.00001277 USD and is down -4.06 over the last 24 hours. It is currently trading on 968 active market(s) with $205,987,598.43 traded over the last 24 hours. More information can be found at https://shibatoken.com/.",2020-08-01,https://shibatoken.com/,https://github.com/shytoshikusama/,9,5,3,5,1,6,3,5,10,5
